parser,checkpoint,depth_bin,mean_log_err_bb,mean_log_err_gb,diff
parsere,0.1,shallow,16.413348407957024,15.689922169830886,-0.7234262381261374
parsere,0.1,medium,4.2445332406956,4.343563022556793,0.09902978186119338
parsere,0.1,deep,23.658583987024265,22.998895195330938,-0.659688791693327
parsere,0.25,shallow,16.368556642524275,14.136316401695467,-2.2322402408288085
parsere,0.25,medium,4.5078658307772175,4.601936045480237,0.09407021470301924
parsere,0.25,deep,23.305623858797606,22.36820129906276,-0.9374225597348449
parsere,0.5,shallow,16.52927706432724,14.130957403502642,-2.3983196608245976
parsere,0.5,medium,4.711816667429089,4.794756196521817,0.08293952909272839
parsere,0.5,deep,23.03821112819881,22.092295361282332,-0.9459157669164782
parsere,0.75,shallow,16.5424493385276,14.127277730544506,-2.415171607983094
parsere,0.75,medium,4.837873702043835,4.915767661270436,0.0778939592266017
parsere,0.75,deep,22.878416577354553,21.930880271815674,-0.947536305538879
parsere,1.0,shallow,16.554981648733488,14.124723118736608,-2.4302585299968804
parsere,1.0,medium,4.931282332689955,5.001027577187276,0.06974524449732122
parsere,1.0,deep,22.768278132365758,21.819323790018913,-0.9489543423468447
