parser,checkpoint,depth_bin,mean_log_err_bb,mean_log_err_gb,diff
parsera,0.1,shallow,5.641340434741935,5.727634809959909,0.08629437521797367
parsera,0.1,medium,5.960143090290404,5.763969691495577,-0.19617339879482731
parsera,0.1,deep,5.337102571325967,5.283714000129837,-0.0533885711961295
parsera,0.25,shallow,5.999043160948375,6.090986346702023,0.09194318575364768
parsera,0.25,medium,6.3030357268817525,6.057668356308865,-0.24536737057288782
parsera,0.25,deep,5.447498090348858,5.41687648133823,-0.030621609010627715
parsera,0.5,shallow,6.287987737242216,6.373637787507267,0.08565005026505101
parsera,0.5,medium,6.552437785811394,6.250497109115028,-0.3019406766963657
parsera,0.5,deep,5.536074181891127,5.532997185188082,-0.003076996703045509
parsera,0.75,shallow,6.465701476399916,6.54626673972094,0.08056526332102365
parsera,0.75,medium,6.6978634994677435,6.367130573355322,-0.33073292611242167
parsera,0.75,deep,5.58716075672069,5.608485312062234,0.021324555341544205
parsera,1.0,shallow,6.581513616773622,6.675080642956185,0.09356702618256296
parsera,1.0,medium,6.80516487284486,6.434052837101467,-0.37111203574339324
parsera,1.0,deep,5.633629394466231,5.667431800511494,0.033802406045262856
