checkpoint,checkpoint_pct,depth_bin,mean_log_err
0.1,10.0,deep,10.839411143670635
0.1,10.0,medium,2.436897306162958
0.1,10.0,shallow,12.983484826772186
0.25,25.0,deep,10.399617318110213
0.25,25.0,medium,2.4093731955993154
0.25,25.0,shallow,12.953249120206376
0.5,50.0,deep,10.083189004359685
0.5,50.0,medium,2.420045218041671
0.5,50.0,shallow,12.914573246861487
0.75,75.0,deep,9.899328526957337
0.75,75.0,medium,2.435862872050109
0.75,75.0,shallow,12.843900234466862
1.0,100.0,deep,9.775329414611463
1.0,100.0,medium,2.4528678897864205
1.0,100.0,shallow,12.81914444135798
