source_parser,parser,run,mrd,checkpoint,n_t,n_frontier,gotu_est,rho,blocks_seen,log_err_shallow,zc_rate_shallow,n_blocks_shallow,log_err_medium,zc_rate_medium,n_blocks_medium,log_err_deep,zc_rate_deep,n_blocks_deep
parsera_b,parsera,parsera_run_14,35.82,0.5,47643819,197,0.0,0.8777045511066899,1967,6.420140509316992,1.0,71,6.338579938017231,0.7637130801687764,8058,5.535525283686532,0.1130014326647564,5584
parsera_b,parsera,parsera_run_14,35.82,0.75,71465728,197,0.0,0.8722332753046506,2055,6.5479672350138,1.0,59,6.454566084162471,0.7614632924079178,7982,5.610958383686828,0.1130014326647564,5584
parsera_b,parsera,parsera_run_14,35.82,1.0,95287638,197,1.0494540750396184e-08,0.865456354140761,2164,6.661761269345415,1.0,55,6.505309149030928,0.7582836105116161,7877,5.679718180555562,0.1130014326647564,5584
parsera_b,parsera,parsera_run_15,35.82,0.1,9550820,197,0.0,0.889517532952002,1777,5.7470115688871,1.0,63,5.794451580669959,0.7693798449612403,8256,5.293692713389351,0.1130014326647564,5584
parsera_b,parsera,parsera_run_15,35.82,0.25,23877051,197,8.376243783204216e-08,0.8815593136035812,1905,6.119252775403545,1.0,63,6.088614692496416,0.765748031496063,8128,5.433573161771201,0.1130014326647564,5584
parsera_b,parsera,parsera_run_15,35.82,0.5,47754103,197,0.0,0.8717358865953743,2063,6.40984972808942,1.0,62,6.270612274324559,0.7611341111529294,7971,5.554337180541411,0.1130014326647564,5584
parsera_b,parsera,parsera_run_15,35.82,0.75,71631155,197,0.0,0.8686272071623974,2113,6.603461746182004,1.0,58,6.406629454084857,0.7597476340694006,7925,5.629315232040155,0.1130014326647564,5584
parsera_b,parsera,parsera_run_15,35.82,1.0,95508207,197,0.0,0.8643994031335489,2181,6.724446964002072,1.0,58,6.475966387000355,0.7576683212422044,7857,5.704707839287248,0.1130014326647564,5584
parsera_b,parsera,parsera_run_16,35.82,0.1,9159703,197,0.0,0.8900149216612783,1769,5.724576225985944,1.0,70,5.7826970062515635,0.7694077752210245,8257,5.301259170850121,0.1130014326647564,5584
parsera_b,parsera,parsera_run_16,35.82,0.25,22899257,197,0.0,0.8818080079582193,1901,6.103544537162811,1.0,65,6.073778581156766,0.7658056580565805,8130,5.423646892278572,0.1130014326647564,5584
parsera_b,parsera,parsera_run_16,35.82,0.5,45798515,197,0.0,0.8731037055458841,2041,6.381656342141001,1.0,62,6.27146166654973,0.761791567621669,7993,5.5384391974456495,0.1130014326647564,5584
parsera_b,parsera,parsera_run_16,35.82,0.75,68697772,197,0.0,0.8698706789355881,2093,6.550677097148365,1.0,62,6.404381729459598,0.7602317088527893,7941,5.6187904139050815,0.1130014326647564,5584
parsera_b,parsera,parsera_run_16,35.82,1.0,91597030,197,0.0,0.8651454861974633,2169,6.690210659224624,1.0,57,6.475499572381801,0.7580686149936467,7870,5.6844353058068435,0.1130014326647564,5584
parsera_b,parsera,parsera_run_17,35.82,0.1,9127709,197,0.0,0.8910096990798309,1753,5.7499330919670415,1.0,72,5.787931181572487,0.7697980897110386,8271,5.298949987448577,0.1130014326647564,5584
parsera_b,parsera,parsera_run_17,35.82,0.25,22819273,197,0.0,0.8835488684406864,1873,6.1353834314612765,1.0,67,6.0853105498369295,0.7665522314860226,8156,5.4280037680466515,0.1130014326647564,5584
parsera_b,parsera,parsera_run_17,35.82,0.5,45638546,197,0.0,0.8773315095747326,1973,6.40967702371135,1.0,65,6.303758729609421,0.7637130801687764,8058,5.548800534544659,0.1130014326647564,5584
parsera_b,parsera,parsera_run_17,35.82,0.75,68457819,197,0.0,0.8732280527232031,2039,6.579262018591168,1.0,64,6.426138524810084,0.761791567621669,7993,5.630885845870218,0.1130014326647564,5584
parsera_b,parsera,parsera_run_17,35.82,1.0,91277092,197,0.0,0.867881124098483,2125,6.706937374056012,1.0,58,6.492562634772138,0.7593832933147985,7913,5.69145312946854,0.1130014326647564,5584
parsera_b,parsera,parsera_run_18,35.82,0.1,9105460,197,0.0,0.8926262123849789,1727,5.72869760785928,1.0,71,5.792488741348771,0.7705471197879007,8298,5.2895665703005985,0.1130014326647564,5584
parsera_b,parsera,parsera_run_18,35.82,0.25,22763651,197,0.0,0.8840462571499627,1865,6.082848545543411,1.0,68,6.064591510761373,0.7667524194536323,8163,5.419094623685045,0.1130014326647564,5584
parsera_b,parsera,parsera_run_18,35.82,0.5,45527302,197,0.0,0.8738497886097986,2029,6.352101471632383,1.0,63,6.252679474519651,0.7621189405297352,8004,5.536686705122169,0.1130014326647564,5584
parsera_b,parsera,parsera_run_18,35.82,0.75,68290953,197,0.0,0.8686272071623974,2113,6.5258355743027945,1.0,61,6.379765531157928,0.759656652360515,7922,5.5987673526619695,0.1130014326647564,5584
parsera_b,parsera,parsera_run_18,35.82,1.0,91054604,197,0.0,0.8627828898284009,2207,6.659175016762622,1.0,59,6.435123303063796,0.7568326947637293,7830,5.671051867043891,0.1130014326647564,5584
parsera_b,parsera,parsera_run_19,35.82,0.1,9882314,197,0.0,0.8896418801293211,1775,5.775442939898374,1.0,72,5.800025552087511,0.7691841435325494,8249,5.315200676007449,0.1130014326647564,5584
parsera_b,parsera,parsera_run_19,35.82,0.25,24705787,197,0.0,0.8823053966674956,1893,6.129338586432414,1.0,64,6.090317929593528,0.7660646271040669,8139,5.461160708847803,0.1130014326647564,5584
parsera_b,parsera,parsera_run_19,35.82,0.5,49411574,197,0.0,0.8748445660283511,2013,6.416075907846727,1.0,64,6.310385456122091,0.7625639107120589,8019,5.564508294587687,0.1130014326647564,5584
parsera_b,parsera,parsera_run_19,35.82,0.75,74117361,197,0.0,0.8702437204675454,2087,6.5829360455199355,1.0,62,6.442941513892844,0.7604127343651692,7947,5.628013984707543,0.1130014326647564,5584
parsera_b,parsera,parsera_run_19,35.82,1.0,98823149,197,0.0,0.8667619995026112,2143,6.7120822505157385,1.0,61,6.531754722274064,0.7587430309173847,7892,5.678729841678873,0.1130014326647564,5584
parsera_b,parsera,parsera_run_2,35.82,0.1,8665120,197,2.3081042155215394e-07,0.8926262123849789,1727,5.715211692365315,1.0,66,5.789626979221455,0.7706852944718776,8303,5.3062156528997075,0.1130014326647564,5584
parsera_b,parsera,parsera_run_2,35.82,0.25,21662801,197,0.0,0.8852897289231535,1845,6.07756774423289,1.0,66,6.085151908978062,0.7673793524740379,8185,5.4263882209124255,0.1130014326647564,5584
