source_parser,parser,mrd,total_blocks,n_runs,gotu_est_mean,coverage_pct_mean,coverage_pct_std,missed_pct_mean,missed_pct_std
parsera_b,parsera,35.82,16084,20,1.7656418195461166e-09,13.72575230042278,0.6643569427696955,86.27424769957722,0.6643569427696947
parsera_b,parserb,35.82,16084,20,1.1596855092034148e-07,13.085675205172842,1.1317866343045344,86.91432479482714,1.1317866343045324
parserc,parserc,24.81,10484,12,2.104777330975646e-09,28.33444614015007,0.1600556852942777,71.66555385984992,0.1600556852942784
parserd,parserd,38.64,17684,2,0.0,27.807622709794163,0.1611626328884874,72.19237729020583,0.1611626328884838
parsere,parsere,53.75,26684,2,9.327432102581569e-08,23.266751611452555,0.0918153200419737,76.73324838854745,0.0918153200419666
parserf,parserf,75.93,9540,2,0.0,31.960167714884697,0.0524109014675033,68.0398322851153,0.0524109014675033
