source_parser,parser,mrd,total_blocks,n_runs,gotu_est_mean,coverage_pct_mean,coverage_pct_std,missed_pct_mean,missed_pct_std
parsera_b,parsera,35.82,16084,20,2.0181065915930138e-06,9.02263118627207,0.1009359058621273,90.97736881372792,0.1009359058621284
parsera_b,parserb,35.82,16084,20,1.992875185991355e-06,8.957348918179559,0.0912300758715272,91.04265108182044,0.0912300758715289
parserc_d,parserc,24.81,10484,20,3.723679240943157e-06,20.87037390309042,0.2283527199482471,79.12962609690956,0.2283527199482458
parserc_d,parserd,38.64,17684,20,7.944530148837747e-06,17.39482017643067,0.2624163699132206,82.60517982356933,0.26241636991322
parsere_f,parsere,53.75,26684,20,1.1876429962187362e-05,16.156498276120523,0.1639472554829562,83.84350172387948,0.1639472554829554
parsere_f,parserf,75.93,9540,20,3.9160941217217795e-06,23.211215932914044,0.2291327648838588,76.78878406708593,0.2291327648838583
