source_parser,parser,run,mrd,checkpoint,n_t,n_frontier,gotu_est,rho,blocks_seen,log_err_shallow,zc_rate_shallow,n_blocks_shallow,log_err_medium,zc_rate_medium,n_blocks_medium,log_err_deep,zc_rate_deep,n_blocks_deep
parsera_b,parsera,parsera_run_1,35.82,0.1,4521795,197,2.123050691152518e-05,0.9201069385724944,1285,5.689492855658459,1.0,116,6.0193545950514755,0.7810235767682576,8695,5.372952313819984,0.1130014326647564,5584
parsera_b,parsera,parsera_run_1,35.82,0.25,11304488,197,7.607597973477437e-06,0.9160034817209648,1351,6.080431272091694,1.0,102,6.362700210767666,0.7797061205599908,8643,5.463766662974046,0.1130014326647564,5584
parsera_b,parsera,parsera_run_1,35.82,0.5,22608977,197,3.62687794321698e-06,0.91264610793335,1405,6.404803794239027,1.0,89,6.6105357923043755,0.7786561264822134,8602,5.546813716339176,0.1130014326647564,5584
parsera_b,parsera,parsera_run_1,35.82,0.75,33913465,197,2.182024160609952e-06,0.91127828898284,1427,6.5675388643710315,1.0,86,6.750681674416709,0.7781661423744611,8583,5.590386885275355,0.1130014326647564,5584
parsera_b,parsera,parsera_run_1,35.82,1.0,45217954,197,1.7249785339690514e-06,0.909413081323054,1457,6.67394402549829,1.0,85,6.862950164355684,0.7774140752864157,8554,5.647059354712034,0.1130014326647564,5584
parsera_b,parsera,parsera_run_10,35.82,0.1,2646185,197,2.8720592097680245e-05,0.9239617010693856,1223,5.49428470361868,1.0,118,5.80204494817367,0.7825242718446602,8755,5.295128259229493,0.1130014326647564,5584
parsera_b,parsera,parsera_run_10,35.82,0.25,6615464,197,1.1790556187744351e-05,0.919609549863218,1293,5.828869544349727,1.0,115,6.149943149742119,0.7808471454880295,8688,5.397174941206696,0.1130014326647564,5584
parsera_b,parsera,parsera_run_10,35.82,0.5,13230928,197,5.895278093872176e-06,0.9160034817209648,1351,6.077258111718909,1.0,106,6.4017924932897685,0.7796041208473203,8639,5.485260430444344,0.1130014326647564,5584
parsera_b,parsera,parsera_run_10,35.82,0.75,19846392,197,3.4263154733616067e-06,0.9136408853519024,1389,6.277948890658483,1.0,96,6.54667769683715,0.7788874695157357,8611,5.5325716705460435,0.1130014326647564,5584
parsera_b,parsera,parsera_run_10,35.82,1.0,26461857,197,2.191834080276377e-06,0.912894802287988,1401,6.377094347799172,1.0,96,6.645221270341719,0.7785789045237819,8599,5.557786445982717,0.1130014326647564,5584
parsera_b,parsera,parsera_run_11,35.82,0.1,3585451,197,2.789049411078271e-05,0.9222208405869188,1251,5.584584624797543,1.0,121,5.93814617782606,0.7817514901421366,8724,5.3409938878068655,0.1130014326647564,5584
parsera_b,parsera,parsera_run_11,35.82,0.25,8963629,197,1.048682403075808e-05,0.9169982591395176,1335,5.958550781736504,1.0,105,6.282660747768056,0.7800369685767098,8656,5.448312560270118,0.1130014326647564,5584
parsera_b,parsera,parsera_run_11,35.82,0.5,17927258,197,4.797164184282951e-06,0.9136408853519024,1389,6.204600269100581,1.0,102,6.523161945508272,0.778733294596165,8605,5.536069893461618,0.1130014326647564,5584
parsera_b,parsera,parsera_run_11,35.82,0.75,26890887,197,3.2724840947046485e-06,0.9119000248694354,1417,6.401855383404797,1.0,97,6.675530618249123,0.7781402936378466,8582,5.5848208100891785,0.1130014326647564,5584
parsera_b,parsera,parsera_run_11,35.82,1.0,35854516,197,2.956391881011586e-06,0.9097861228550111,1451,6.540391977401395,1.0,94,6.789181296768273,0.7773359840954275,8551,5.642363474384707,0.1130014326647564,5584
parsera_b,parsera,parsera_run_12,35.82,0.1,4048282,197,1.877339572687871e-05,0.9224695349415568,1247,5.650660299430007,1.0,114,5.964240378914314,0.7820263308528906,8735,5.320349151651642,0.1130014326647564,5584
parsera_b,parsera,parsera_run_12,35.82,0.25,10120706,197,9.090274927460596e-06,0.9171226063168366,1333,6.0242134287994045,1.0,105,6.3306678295052965,0.7800877800877801,8658,5.448426973759269,0.1130014326647564,5584
parsera_b,parsera,parsera_run_12,35.82,0.5,20241413,197,3.754678588891003e-06,0.9137652325292216,1387,6.2951490184190835,1.0,98,6.570573813226383,0.7788874695157357,8611,5.531953071962833,0.1130014326647564,5584
parsera_b,parsera,parsera_run_12,35.82,0.75,30362120,197,2.5031190180395835e-06,0.9117756776921164,1419,6.501627428909483,1.0,91,6.716983507432453,0.7782436524574889,8586,5.5876899416217345,0.1130014326647564,5584
parsera_b,parsera,parsera_run_12,35.82,1.0,40482827,197,2.025550241340606e-06,0.909661775677692,1453,6.618958079924912,1.0,87,6.830131849382625,0.777466105656849,8556,5.63951004282804,0.1130014326647564,5584
parsera_b,parsera,parsera_run_13,35.82,0.1,3989864,197,1.854699809316809e-05,0.9220964934095996,1253,5.684184118036086,1.0,105,5.959927805242507,0.7821011673151751,8738,5.31740785910936,0.1130014326647564,5584
parsera_b,parsera,parsera_run_13,35.82,0.25,9974662,197,8.621846033479631e-06,0.9166252176075604,1341,6.059140078202802,1.0,96,6.319174130813036,0.7801131770412287,8659,5.445982923449228,0.1130014326647564,5584
parsera_b,parsera,parsera_run_13,35.82,0.5,19949324,197,4.411177040384927e-06,0.9125217607560308,1407,6.318879483508004,1.0,91,6.573287906808498,0.7785531518957897,8598,5.5516750028735595,0.1130014326647564,5584
parsera_b,parsera,parsera_run_13,35.82,0.75,29923986,197,2.272424535955872e-06,0.911029594628202,1431,6.470645823086753,1.0,91,6.705024225658092,0.7779332866806624,8574,5.590971080987114,0.1130014326647564,5584
parsera_b,parsera,parsera_run_13,35.82,1.0,39898648,197,1.7544454137894597e-06,0.909661775677692,1453,6.587596261459502,1.0,88,6.811312192162346,0.7774400935125657,8555,5.6342947589444865,0.1130014326647564,5584
parsera_b,parsera,parsera_run_14,35.82,0.1,4011365,197,1.4458918597534757e-05,0.9230912708281522,1237,5.64243840985036,1.0,116,5.9477647602414585,0.7822257806244995,8743,5.319822690804231,0.1130014326647564,5584
parsera_b,parsera,parsera_run_14,35.82,0.25,10028414,197,5.783566573936816e-06,0.9171226063168366,1333,5.998039539040859,1.0,102,6.290203395156294,0.7801639533541161,8661,5.4248426210675165,0.1130014326647564,5584
parsera_b,parsera,parsera_run_14,35.82,0.5,20056829,197,2.8917831427889223e-06,0.9132678438199452,1395,6.28450546022476,1.0,97,6.545341309606105,0.7787075778707578,8604,5.5281947215290765,0.1130014326647564,5584
parsera_b,parsera,parsera_run_14,35.82,0.75,30085243,197,3.1909331761089647e-06,0.909413081323054,1457,6.483396196752747,1.0,88,6.720349774180766,0.7773359840954275,8551,5.620729008636587,0.1130014326647564,5584
parsera_b,parsera,parsera_run_14,35.82,1.0,40113658,197,2.393199842308074e-06,0.908045262372544,1479,6.6043375960559025,1.0,86,6.830621231846475,0.7768139725706248,8531,5.6666873694661835,0.1130014326647564,5584
parsera_b,parsera,parsera_run_15,35.82,0.1,4066118,197,1.7707307067822428e-05,0.9214747575230042,1263,5.642641084956378,1.0,115,5.967272433401656,0.7816012846983253,8718,5.338765619456287,0.1130014326647564,5584
parsera_b,parsera,parsera_run_15,35.82,0.25,10165295,197,7.476418539747248e-06,0.9171226063168366,1333,5.96979640739078,1.0,107,6.298268671135927,0.7800369685767098,8656,5.433850242518228,0.1130014326647564,5584
parsera_b,parsera,parsera_run_15,35.82,0.5,20330591,197,4.131704779265886e-06,0.912770455110669,1403,6.321316430765054,1.0,95,6.565600858969367,0.7785531518957897,8598,5.533201875422106,0.1130014326647564,5584
parsera_b,parsera,parsera_run_15,35.82,0.75,30495887,197,2.9512176510884895e-06,0.9105322059189256,1439,6.484754159503179,1.0,91,6.704895562705183,0.7777258930656082,8566,5.59344512158003,0.1130014326647564,5584
parsera_b,parsera,parsera_run_15,35.82,1.0,40661183,197,2.3117871410676863e-06,0.9091643869684158,1461,6.5915900642094165,1.0,90,6.816592189210483,0.7771796372147455,8545,5.645478838268803,0.1130014326647564,5584
parsera_b,parsera,parsera_run_16,35.82,0.1,4015226,197,2.49051983624334e-05,0.921226063168366,1267,5.641275432107817,1.0,113,5.990252597758441,0.7815511702615879,8716,5.354212104445395,0.1130014326647564,5584
parsera_b,parsera,parsera_run_16,35.82,0.25,10038065,197,7.571180302179753e-06,0.9169982591395176,1335,5.9909254478110485,1.0,105,6.313608690586927,0.7800369685767098,8656,5.446819372645395,0.1130014326647564,5584
parsera_b,parsera,parsera_run_16,35.82,0.5,20076131,197,3.685969174040556e-06,0.9133921909972644,1393,6.281000679042689,1.0,98,6.55781356811617,0.778733294596165,8605,5.534768444001857,0.1130014326647564,5584
parsera_b,parsera,parsera_run_16,35.82,0.75,30114196,197,2.5901405436824542e-06,0.91127828898284,1427,6.447359275521947,1.0,94,6.7074066115292235,0.7779591836734694,8575,5.593475081276331,0.1130014326647564,5584
parsera_b,parsera,parsera_run_16,35.82,1.0,40152262,197,1.842984587020278e-06,0.9102835115642874,1443,6.57805148940555,1.0,90,6.811094403599714,0.7776480205535443,8563,5.625620483857728,0.1130014326647564,5584
parsera_b,parsera,parsera_run_17,35.82,0.1,4519688,197,1.8585353679280516e-05,0.9213504103456852,1265,5.684521931880654,1.0,108,6.012639357866876,0.7817264702510605,8723,5.34813558761375,0.1130014326647564,5584
parsera_b,parsera,parsera_run_17,35.82,0.25,11299221,197,9.558181046286287e-06,0.9150087043024124,1367,6.100290321912762,1.0,98,6.37989627077789,0.7793998377939984,8631,5.484256019675249,0.1130014326647564,5584
parsera_b,parsera,parsera_run_17,35.82,0.5,22598442,197,3.894073759598118e-06,0.9117756776921164,1419,6.423909670350418,1.0,92,6.621175103124398,0.7782178217821782,8585,5.568781360090638,0.1130014326647564,5584
