source_parser,parser,mrd,checkpoint,n_runs,log_err_shallow,zc_rate_shallow,n_blocks_shallow,log_err_medium,zc_rate_medium,n_blocks_medium,log_err_deep,zc_rate_deep,n_blocks_deep,gotu_est_mean,rho_mean
parserc,parserc,24.81,0.1,12,13.09497168718562,0.26171875,988,2.3857527109070777,0.4110845635293114,23438,10.458652730120306,0.0099956269132254,48021,7.866109832121017e-08,0.7284353936156683
parserc,parserc,24.81,0.25,12,13.021689786356037,0.25,972,2.4299442918542935,0.4100147020669376,23126,10.0653512290427,0.010062893081761,47700,1.4975880312467472e-08,0.7232210988172453
parserc,parserc,24.81,0.5,12,12.97177516786338,0.2394366197183098,958,2.4783575456964906,0.4096710956218689,22955,9.775250636931757,0.0101076038661584,47489,4.209554661951292e-09,0.7200416507694264
parserc,parserc,24.81,0.75,12,12.869773761815862,0.2394366197183098,958,2.517099100203789,0.4099126637554585,22900,9.602459122914938,0.0101529284853099,47277,2.8063697746341947e-09,0.7178955233371486
parserc,parserc,24.81,1.0,12,12.797457951838364,0.2394366197183098,958,2.547415617326413,0.4103719912472647,22850,9.480511367371358,0.010174880763116,47175,2.104777330975646e-09,0.7166555385984993
parserd,parserd,38.64,0.1,2,11.057223006687234,0.625,74,2.529505683804809,0.4420471650777722,3986,17.82066973867945,0.0070284594999423,17358,1.0088982838960205e-06,0.7586236145668401
parserd,parserd,38.64,0.25,2,11.974222586822714,0.5774647887323944,65,2.7679316806280223,0.4480463096960926,3455,17.54351350642039,0.0072352034159648,16862,1.020097199520024e-07,0.7287378421171681
parserd,parserd,38.64,0.5,2,12.21657996236616,0.5652173913043478,63,2.916022385843071,0.4504451038575667,3370,17.25781132994112,0.0072662298987492,16790,2.438253485855192e-08,0.7241857045917213
parserd,parserd,38.64,0.75,2,12.22473320178026,0.5652173913043478,63,3.00974863546667,0.4511210762331838,3345,17.104173700266127,0.0072892394096911,16737,1.6255023106921723e-08,0.7219803211942999
parserd,parserd,38.64,1.0,2,12.233799609451053,0.5652173913043478,63,3.074013000200136,0.4511210762331838,3345,16.987356481069234,0.0072901105467582,16735,0.0,0.7219237729020583
parsere,parsere,53.75,0.1,2,19.20221884055576,0.2672413793103448,226,4.247748755036613,0.3846455919890045,5093,28.20170331849494,0.0049916236452528,29249,4.453749736355545e-06,0.803608904212262
parsere,parsere,53.75,0.25,2,17.105788549823632,0.2985074626865671,195,4.288407273022362,0.3828664230613073,4926,27.52695869906816,0.0052954190997787,27571,1.6355644873177222e-06,0.7673324838854745
parsere,parsere,53.75,0.5,2,16.972425643794743,0.2985074626865671,195,4.318266043446329,0.3828664230613073,4926,27.237947989634225,0.0052954190997787,27571,4.405568043977235e-07,0.7673324838854745
parsere,parsere,53.75,0.75,2,16.89383775118873,0.2985074626865671,195,4.344697579460603,0.3828664230613073,4926,27.06795380535067,0.0052954190997787,27571,2.0696961252797033e-07,0.7673324838854745
parsere,parsere,53.75,1.0,2,16.838133577794267,0.2985074626865671,195,4.366433973691152,0.3828664230613073,4926,26.950037583441073,0.0052954190997787,27571,9.327432102581569e-08,0.7673324838854745
parserf,parserf,75.93,0.1,2,21.22896303932593,0.1906354515050167,891,3.7052254474105704,0.3618477331052181,1169,34.51513038271559,0.0,6926,1.5772322063242193e-06,0.7157756813417191
parserf,parserf,75.93,0.25,2,21.8866082795429,0.1761083743842364,806,3.9813828530530646,0.3617886178861789,984,34.52492644962094,0.0,6614,3.0544739728567357e-07,0.680398322851153
parserf,parserf,75.93,0.5,2,21.68838926199962,0.1761083743842364,806,4.004774010551957,0.3617886178861789,984,34.22835699740918,0.0,6614,2.034034192358858e-08,0.680398322851153
parserf,parserf,75.93,0.75,2,21.57394506392374,0.1761083743842364,806,4.028191823528507,0.3617886178861789,984,34.05586102434589,0.0,6614,0.0,0.680398322851153
parserf,parserf,75.93,1.0,2,21.492616699967293,0.1761083743842364,806,4.050318182046458,0.3617886178861789,984,33.93254572905567,0.0,6614,0.0,0.680398322851153
