parser,checkpoint,depth_bin,mean_log_err_bb,mean_log_err_gb,diff
parserf,0.1,shallow,20.3584846298778,18.33007342516425,-2.0284112047135494
parserf,0.1,medium,3.713703768362199,3.9177589083354944,0.2040551399732955
parserf,0.1,deep,31.48244840840088,30.154799865368553,-1.3276485430323284
parserf,0.25,shallow,20.17535474920901,18.871035397761137,-1.304319351447873
parserf,0.25,medium,3.984178112717882,4.410709399452478,0.42653128673459584
parserf,0.25,deep,31.099078906722287,30.12936348450615,-0.9697154222161366
parserf,0.5,shallow,20.00009434803489,18.676561430950958,-1.3235329170839307
parserf,0.5,medium,4.194187876275573,4.622894537849102,0.42870666157352844
parserf,0.5,deep,30.81246823936891,29.83474435188463,-0.9777238874842809
parserf,0.75,shallow,19.9651926546901,18.56429113822446,-1.400901516465641
parserf,0.75,medium,4.323229542908367,4.75414788278431,0.4309183398759435
parserf,0.75,deep,30.701305976976748,29.663516937546305,-1.037789039430443
parserf,1.0,shallow,19.924686739200375,18.484477133229472,-1.440209605970903
parserf,1.0,medium,4.415132041238564,4.843767223160419,0.42863518192185435
parserf,1.0,deep,30.611893738852075,29.541297135824763,-1.0705966030273117
