parser,checkpoint,depth_bin,mean_log_err_bb,mean_log_err_gb,diff
parserd,0.1,shallow,12.598740674738261,9.743555168081556,-2.8551855066567047
parserd,0.1,medium,3.57446062795042,3.7215290655767816,0.1470684376263618
parserd,0.1,deep,14.297203281255273,13.73920521269891,-0.5579980685563637
parserd,0.25,shallow,12.55218726776585,10.249705573720231,-2.3024816940456194
parserd,0.25,medium,3.9135445633845984,4.158266011076908,0.2447214476923092
parserd,0.25,deep,13.93379204058948,13.48815034661164,-0.4456416939778407
parserd,0.5,shallow,12.473967416035027,10.414205481606391,-2.0597619344286358
parserd,0.5,medium,4.180375023280668,4.425503317846967,0.2451282945662996
parserd,0.5,deep,13.668217280620478,13.230178904382957,-0.43803837623752173
parserd,0.75,shallow,12.405467787847943,10.436933126726284,-1.9685346611216588
parserd,0.75,medium,4.334307061766983,4.585840899806607,0.2515338380396237
parserd,0.75,deep,13.514518668495247,13.09403910395529,-0.42047956453995816
parserd,1.0,shallow,12.377976572149782,10.456012096850857,-1.9219644752989247
parserd,1.0,medium,4.4455720750494425,4.698423528696136,0.25285145364669326
parserd,1.0,deep,13.408474836669821,12.991993162952326,-0.4164816737174952
