parser,checkpoint,depth_bin,mean_log_err_bb,mean_log_err_gb,diff
parsera,0.1,shallow,5.641340434741935,5.727634809959909,0.08629437521797367
parsera,0.1,medium,5.960143090290404,5.763969691495577,-0.19617339879482731
parsera,0.1,deep,5.337102571325967,5.283714000129837,-0.0533885711961295
parsera,0.25,shallow,5.999043160948375,6.090986346702023,0.09194318575364768
parsera,0.25,medium,6.3030357268817525,6.057668356308865,-0.24536737057288782
parsera,0.25,deep,5.447498090348858,5.41687648133823,-0.030621609010627715
parsera,0.5,shallow,6.287987737242216,6.373637787507267,0.08565005026505101
parsera,0.5,medium,6.552437785811394,6.250497109115028,-0.3019406766963657
parsera,0.5,deep,5.536074181891127,5.532997185188082,-0.003076996703045509
parsera,0.75,shallow,6.465701476399916,6.54626673972094,0.08056526332102365
parsera,0.75,medium,6.6978634994677435,6.367130573355322,-0.33073292611242167
parsera,0.75,deep,5.58716075672069,5.608485312062234,0.021324555341544205
parsera,1.0,shallow,6.581513616773622,6.675080642956185,0.09356702618256296
parsera,1.0,medium,6.80516487284486,6.434052837101467,-0.37111203574339324
parsera,1.0,deep,5.633629394466231,5.667431800511494,0.033802406045262856
parserb,0.1,shallow,5.671675988586452,5.741324270554534,0.0696482819680817
parserb,0.1,medium,5.986759763812122,5.762167288887152,-0.22459247492496992
parserb,0.1,deep,5.34355732604092,5.291870987325454,-0.05168633871546646
parserb,0.25,shallow,6.0375527929622095,6.113215573464328,0.07566278050211839
parserb,0.25,medium,6.3310834053712455,6.0659041194364445,-0.265179285934801
parserb,0.25,deep,5.45965552933392,5.414799470613152,-0.04485605872076803
parserb,0.5,shallow,6.329355871381185,6.411025853243439,0.08166998186225438
parserb,0.5,medium,6.583777865468312,6.276112102013629,-0.30766576345468266
parserb,0.5,deep,5.54769572822823,5.528129253301392,-0.019566474926837607
parserb,0.75,shallow,6.503402961782501,6.583357354506314,0.07995439272381333
parserb,0.75,medium,6.729895645176109,6.391859182032926,-0.33803646314318314
parserb,0.75,deep,5.601769789462475,5.600115418329631,-0.0016543711328438349
parserb,1.0,shallow,6.615513215294977,6.712820754215782,0.09730753892080468
parserb,1.0,medium,6.834090533705665,6.467617093002966,-0.36647344070269927
