parser,checkpoint,depth_bin,mean_log_err_bb,mean_log_err_gb,diff
parserc,0.1,shallow,9.948509854792846,9.930692995002914,-0.017816859789931527
parserc,0.1,medium,2.8039992725736402,3.0313851939124308,0.22738592133879054
parserc,0.1,deep,7.020885107227298,6.702624858173763,-0.31826024905353467
parserc,0.25,shallow,9.85592445355041,9.791354222287756,-0.06457023126265327
parserc,0.25,medium,3.057484620375348,3.3117378750883386,0.25425325471299054
parserc,0.25,deep,6.61170811665953,6.348924214305921,-0.2627839023536094
parserc,0.5,shallow,9.762102257619185,9.680410533356998,-0.08169172426218729
parserc,0.5,medium,3.2705514844167674,3.541703163772516,0.2711516793557487
parserc,0.5,deep,6.323534493528809,6.093659731016725,-0.22987476251208427
parserc,0.75,shallow,9.685788558998194,9.58893217626966,-0.09685638272853403
parserc,0.75,medium,3.403228808410526,3.682505410606561,0.2792766021960351
parserc,0.75,deep,6.160468950095845,5.948038085415651,-0.21243086468019445
parserc,1.0,shallow,9.639916573785598,9.530919926105787,-0.10899664767981143
parserc,1.0,medium,3.499123665763429,3.7864649598315574,0.2873412940681286
parserc,1.0,deep,6.050842434374046,5.846625827035481,-0.20421660733856495
