checkpoint,depth_bin,mean_log_err_bb,mean_log_err_gb,diff,parser
0.1,deep,13.739304506702908,13.73920521269891,-9.929400399855126e-05,parserd
0.1,medium,3.721290902168118,3.7215290655767816,0.00023816340866344987,parserd
0.1,shallow,9.74120526067988,9.743555168081556,0.0023499074016761767,parserd
0.25,deep,13.488137740267234,13.48815034661164,1.2606344405696746e-05,parserd
0.25,medium,4.158262399886435,4.158266011076908,3.6111904728741706e-06,parserd
0.25,shallow,10.24894066324451,10.249705573720231,0.0007649104757216918,parserd
0.5,deep,13.230065553473452,13.230178904382957,0.00011335090950481685,parserd
0.5,medium,4.425528078427463,4.425503317846967,-2.476058049527552e-05,parserd
0.5,shallow,10.413416182320196,10.414205481606391,0.0007892992861950887,parserd
0.75,deep,13.093999563701896,13.09403910395529,3.95402533932554e-05,parserd
0.75,medium,4.585892616422583,4.585840899806607,-5.171661597547228e-05,parserd
0.75,shallow,10.436172726659422,10.436933126726284,0.000760400066862843,parserd
1.0,deep,12.991953275249072,12.991993162952326,3.988770325413782e-05,parserd
1.0,medium,4.698479029774735,4.698423528696136,-5.550107859964015e-05,parserd
1.0,shallow,10.455314988455113,10.456012096850857,0.0006971083957445501,parserd
