checkpoint,depth_bin,mean_log_err_bb,mean_log_err_gb,diff,parser
0.1,deep,5.283714000129837,5.287792493727645,0.004078493597807764,parsera
0.1,medium,5.764023964161701,5.763068490191364,-0.0009554739703370174,parsera
0.1,shallow,5.727386198762129,5.7344795402572215,0.007093341495092886,parsera
0.25,deep,5.416876481338231,5.415837975975691,-0.0010385053625396878,parsera
0.25,medium,6.057664527399007,6.0617862378726555,0.004121710473648399,parsera
0.25,shallow,6.089823212867438,6.102100960083175,0.01227774721573649,parsera
0.5,deep,5.532997185188084,5.530563219244738,-0.00243396594334655,parsera
0.5,medium,6.250653562017782,6.263304605564327,0.012651043546545004,parsera
0.5,shallow,6.373375450119716,6.392331820375352,0.018956370255636124,parsera
0.75,deep,5.608485158959393,5.604300365195932,-0.0041847937634607035,parsera
0.75,medium,6.367440529206022,6.379494877694124,0.012054348488101496,parsera
0.75,shallow,6.543851804889756,6.564812047113628,0.020960242223872605,parsera
1.0,deep,5.667431781739039,5.6609729589745275,-0.006458822764511929,parsera
1.0,medium,6.434520006438726,6.450834965052216,0.016314958613490305,parsera
1.0,shallow,6.671593441894228,6.693950698585984,0.022357256691755367,parsera
